#separator:Pipe
#html:false
#tags column:3
¿Fundamento constitucional del deber de contribuir?|Art. 31 fr. IV CPEUM (proporcional, equitativa y conforme a las leyes) ⚠️|Fiscal
¿Los cuatro principios constitucionales tributarios?|Legalidad, proporcionalidad, equidad y destino al gasto público|Fiscal
¿Cuatro clases de contribuciones (art. 2 CFF)?|Impuestos, aportaciones de seguridad social, contribuciones de mejoras y derechos ⚠️|Fiscal
¿Cuándo nace la obligación fiscal?|Con el hecho imponible y la ley (art. 6 CFF), no con el acto de la autoridad ⚠️|Fiscal
¿Caducidad vs. prescripción fiscal?|Caducidad = mueren las facultades del fisco para determinar (art. 67, 5 años); prescripción = muere el crédito ya determinado (art. 146, 5 años) ⚠️|Fiscal
¿Tasa de ISR de personas morales?|30% sobre el resultado fiscal ⚠️|Fiscal
¿Tasa general de IVA y su mecánica?|16%; traslado y acreditamiento (lo soporta el consumidor final) ⚠️|Fiscal
¿Diferencia entre tasa 0% y exento en IVA?|0% permite acreditar el IVA de insumos; exento no (se vuelve costo)|Fiscal
¿Los tres medios de defensa fiscal en orden?|Recurso de revocación, juicio de nulidad (TFJA) y amparo|Fiscal
¿Qué es el art. 69-B del CFF?|Régimen de operaciones inexistentes: EFOS (emisor de facturas falsas) y EDOS (quien las deduce) ⚠️|Fiscal
¿Planeación vs. elusión vs. evasión?|Legal (economía de opción) / zona gris (art. 5-A anti-abuso) / delito (defraudación) ⚠️|Fiscal
¿Fundamento de la supremacía constitucional?|Art. 133 CPEUM ⚠️|Constitucional
¿Qué cambió la reforma de derechos humanos de 2011 (art. 1º)?|Bloque de constitucionalidad, principio pro persona, control de convencionalidad y difuso, deberes de toda autoridad ⚠️|Constitucional
¿Amparo directo vs. indirecto?|Directo: contra sentencias/laudos definitivos (Tribunal Colegiado); indirecto: contra leyes autoaplicativas y actos de autoridad (Juez de Distrito)|Constitucional
¿Los cinco principios del juicio de amparo?|Instancia de parte, agravio personal y directo, definitividad, estricto derecho (con suplencia) y relatividad (fórmula Otero)|Constitucional
¿Para qué sirve la suspensión del acto reclamado?|Paralizar el acto y evitar daños de difícil reparación mientras se resuelve el amparo|Constitucional
¿Plazo general para promover amparo?|15 días hábiles ⚠️ (con excepciones)|Constitucional
¿Los tres medios de control constitucional?|Amparo, controversia constitucional y acción de inconstitucionalidad|Constitucional
¿Qué ocurrió con la reforma judicial 2024-2025?|Reestructuró el PJF y estableció la elección popular de juzgadores ⚠️|Constitucional
¿Elementos del acto administrativo?|Sujeto competente, objeto, motivo, fin y forma (fundado y motivado) ⚠️|Administrativo
¿Vicios/causas de nulidad del acto administrativo?|Incompetencia, falta de fundamentación/motivación, vicios de procedimiento y desvío de poder|Administrativo
¿Qué es la presunción de ejecutoriedad?|El acto administrativo se presume válido y puede ejecutarse aunque se impugne (por eso importa la suspensión)|Administrativo
¿Concesión?|Acto que transfiere al particular la explotación de un bien del dominio público o de un servicio público|Administrativo
¿Requisitos de la expropiación (art. 27)?|Utilidad pública e indemnización ⚠️|Administrativo
¿Qué autoridad sustituyó a la COFECE en competencia?|La Comisión Nacional Antimonopolio (CNA), tras la reforma 2024-2025 que extinguió COFECE e IFT ⚠️|Administrativo
¿Vía de defensa administrativa?|Recurso de revisión (optativo), juicio de nulidad (TFJA) y amparo|Administrativo
¿Qué distingue al juicio ejecutivo mercantil?|Se basa en un título ejecutivo y hay embargo desde el inicio; excepciones tasadas|Procesal
¿Jurisdicción vs. competencia?|Jurisdicción: potestad de juzgar (una, del Estado); competencia: su reparto por materia, cuantía, territorio y grado|Procesal
¿Carga de la prueba?|Quien afirma, prueba (actor: los hechos de su acción; demandado: los de sus excepciones)|Procesal
¿Por qué documentar un crédito con pagaré?|Da acceso a la vía ejecutiva (rápida, con embargo desde el inicio)|Procesal
¿Qué es la vía de apremio?|La ejecución forzosa: embargo, avalúo, remate y pago al acreedor|Procesal
¿Qué código rige el proceso civil/familiar (unificación)?|El Código Nacional de Procedimientos Civiles y Familiares (CNPCF), en sustitución escalonada ⚠️; lo mercantil sigue en el Código de Comercio|Procesal
¿Elemento decisivo de la relación laboral?|La subordinación (más prestación personal y salario)|Laboral
¿Qué es la primacía de la realidad?|Importan los hechos (cómo se trabaja), no el nombre del contrato|Laboral
